Direccion,LOCALIDAD,CP,PROVINCIA,Full Address,Latitude,Longitude
MADRID 3166,ISIDRO CASANOVA,1765,BUENOS AIRES,MADRID 3166 ISIDRO CASANOVA 1765 BUENOS AIRES ,-34.7020299,-58.581563
CHASSAING 6626,GONZALEZ CATAN,1758,BUENOS AIRES,CHASSAING 6626 GONZALEZ CATAN 1758 BUENOS AIRES ,-34.7769565,-58.6102147
DIAG MALDONADO 264,CIUDADELA,1702,BUENOS AIRES,DIAG MALDONADO 264 CIUDADELA 1702 BUENOS AIRES ,-34.6374624,-58.5428723
AVDA TRIUNVIRATO 5390,CIUDAD AUTONOMA BUENOS AIRES,1431,BUENOS AIRES,AVDA TRIUNVIRATO 5390 CIUDAD AUTONOMA BUENOS AIRES 1431 BUENOS AIRES ,-34.569686,-58.492208
DR MARIANO BOEDO 266 LOCAL4,LOMAS DE ZAMORA,1832,BUENOS AIRES,DR MARIANO BOEDO 266 LOCAL4 LOMAS DE ZAMORA 1832 BUENOS AIRES ,-34.7611823,-58.4302476
JOSE SUPERI 3123,CIUDAD AUTONOMA BUENOS AIRES,1430,BUENOS AIRES,JOSE SUPERI 3123 CIUDAD AUTONOMA BUENOS AIRES 1430 BUENOS AIRES ,-34.5587022,-58.4742624
DR JUAN BAUTISTA JUSTO 659,BECCAR,1643,BUENOS AIRES,DR JUAN BAUTISTA JUSTO 659 BECCAR 1643 BUENOS AIRES ,-34.4630498,-58.534014
AVDA JUAN SEGUNDO FERNANDEZ 1318 8,SAN ISIDRO,1642,BUENOS AIRES,AVDA JUAN SEGUNDO FERNANDEZ 1318 8 SAN ISIDRO 1642 BUENOS AIRES ,-34.4801987,-58.5535876
PRES GRAL JULIO ARGENTINO ROCA 3207,CIUDADELA,1702,BUENOS AIRES,PRES GRAL JULIO ARGENTINO ROCA 3207 CIUDADELA 1702 BUENOS AIRES ,-34.6525188,-58.5402408
25 de mayo 13,EZEIZA,1804,BUENOS AIRES,25 de mayo 13 EZEIZA 1804 BUENOS AIRES ,-34.8504213,-58.5236975
Paso de la Patria 266,EZEIZA,1804,BUENOS AIRES,Paso de la Patria 266 EZEIZA 1804 BUENOS AIRES ,-34.8548529,-58.5210616
España 103,MORENO,1744,BUENOS AIRES,España 103 MORENO 1744 BUENOS AIRES ,-34.6490035,-58.7897157
Libertad 735,MERLO,1722,BUENOS AIRES,Libertad 735 MERLO 1722 BUENOS AIRES ,-34.6667402,-58.7289139
diag 73 1598,LA PLATA,1900,BUENOS AIRES,diag 73 1598 LA PLATA 1900 BUENOS AIRES ,-34.921305,-57.95007
H YRIGOYEN 560,Quilmes,1878,BUENOS AIRES,H YRIGOYEN 560 Quilmes 1878 BUENOS AIRES ,-34.7227424,-58.2606066
Piñero 977,Jose C Paz,1660,BUENOS AIRES,Piñero 977 Jose C Paz 1660 BUENOS AIRES ,-34.5071953,-58.7497226
San Martin 1804,General San Martin,,BUENOS AIRES,San Martin 1804 General San Martin  BUENOS AIRES ,-34.5797372,-58.5357494
AVDA GRAL JOSE DE SAN MARTIN 2278,CIUDAD AUTONOMA BUENOS AIRES,1416,BUENOS AIRES,AVDA GRAL JOSE DE SAN MARTIN 2278 CIUDAD AUTONOMA BUENOS AIRES 1416 BUENOS AIRES ,-34.5287114,-58.4932327
GRAL SIMON BOLIVAR 1400,San Telmo,1141,BUENOS AIRES,GRAL SIMON BOLIVAR 1400 San Telmo 1141 BUENOS AIRES ,-34.6241731,-58.3726161
Caaguazu 141,Temperley,1825,BUENOS AIRES,Caaguazu 141 Temperley 1825 BUENOS AIRES ,-34.7406978,-58.3473947
ROMA 562,CIUDAD AUTONOMA BUENOS AIRES,1408,BUENOS AIRES,ROMA 562 CIUDAD AUTONOMA BUENOS AIRES 1408 BUENOS AIRES ,-34.6314237,-58.5208011
Basavilbaso 540,CAÑUELAS,1814,BUENOS AIRES,Basavilbaso 540 CAÑUELAS 1814 BUENOS AIRES ,-35.0566436,-58.758747
AYACUCHO 53,GENERAL RODRIGUEZ,1748,BUENOS AIRES,AYACUCHO 53 GENERAL RODRIGUEZ 1748 BUENOS AIRES ,-34.5990557,-58.9416038
MAIPU 1425,INGENIERO MASCHWITZ,1623,BUENOS AIRES,MAIPU 1425 INGENIERO MASCHWITZ 1623 BUENOS AIRES ,-34.3889662,-58.7391253
Felix Pagola 136,Zarate,2800,BUENOS AIRES,Felix Pagola 136 Zarate 2800 BUENOS AIRES ,-34.0946592,-59.0259041
Blvd. Lavalle 516,CAMPANA,2804,BUENOS AIRES,Blvd. Lavalle 516 CAMPANA 2804 BUENOS AIRES ,-34.1661872,-58.9636229
MITRE 539,BELEN DE ESCOBAR,1625,BUENOS AIRES,MITRE 539 BELEN DE ESCOBAR 1625 BUENOS AIRES ,-34.3478711,-58.7939998
CHAMPAGNAT 1593,LUJAN,6700,BUENOS AIRES,CHAMPAGNAT 1593 LUJAN 6700 BUENOS AIRES ,-34.5653481,-59.1331378
BELGRANO 411,CAMPANA,2804,BUENOS AIRES,BELGRANO 411 CAMPANA 2804 BUENOS AIRES ,-34.1645513,-58.9582743
MERLO 3916,VILLA DOMINICO,1874,BUENOS AIRES,MERLO 3916 VILLA DOMINICO 1874 BUENOS AIRES ,-34.680071,-58.3308209
CHACABUCO 409,PILAR,1629,BUENOS AIRES,CHACABUCO 409 PILAR 1629 BUENOS AIRES ,-34.4559031,-58.9098195
COLECTORA OESTE 1733,PILAR,1619,BUENOS AIRES,COLECTORA OESTE 1733 PILAR 1619 BUENOS AIRES ,-34.4538379,-58.7335092
ITUZAINGO 1172,SAN FERNANDO,1646,BUENOS AIRES,ITUZAINGO 1172 SAN FERNANDO 1646 BUENOS AIRES ,-34.4373527,-58.5609756
SANTA FE 1679,MARTINEZ,1640,BUENOS AIRES,SANTA FE 1679 MARTINEZ 1640 BUENOS AIRES ,-34.5956508,-58.391583
CALLE 56 980,LA PLATA,1900,BUENOS AIRES,CALLE 56 980 LA PLATA 1900 BUENOS AIRES ,-34.9250318,-57.9533161
ENRIQUE DEL VALLE IBERLUCEA 3035,LANUES OESTE,1826,BUENOS AIRES,ENRIQUE DEL VALLE IBERLUCEA 3035 LANUES OESTE 1826 BUENOS AIRES ,-34.7085571,-58.3930359
ONCATIVO 2098,LANUES ESTE,1824,BUENOS AIRES,ONCATIVO 2098 LANUES ESTE 1824 BUENOS AIRES ,-34.7111789,-58.3876776
MALVINAS ARGENTINAS 806,FLORES,1406,BUENOS AIRES,MALVINAS ARGENTINAS 806 FLORES 1406 BUENOS AIRES ,-34.633096,-58.447904
CAP GRAL RAMON FREIRE 902 PB 0005,COLEGIALES,1426,BUENOS AIRES,CAP GRAL RAMON FREIRE 902 PB 0005 COLEGIALES 1426 BUENOS AIRES ,-34.5760528,-58.4512029
MEDRANO 1648,PALERMO,1425,BUENOS AIRES,MEDRANO 1648 PALERMO 1425 BUENOS AIRES ,-34.5903185,-58.4188538
SANTIAGO DEL ESTERO 1506,CONSTITUCIÓN,1136,BUENOS AIRES,SANTIAGO DEL ESTERO 1506 CONSTITUCIÓN 1136 BUENOS AIRES ,-34.6261812,-58.3842412
Calle 66 3244,LA PLATA,1910,BUENOS AIRES,Calle 66 3244 LA PLATA 1910 BUENOS AIRES ,-35.0059916,-58.0226587
De la Paz 313,ENSENADA,1925,BUENOS AIRES,De la Paz 313 ENSENADA 1925 BUENOS AIRES ,-34.8587771,-57.9056588
Guido 1994,RECOLETA,1119,BUENOS AIRES,Guido 1994 RECOLETA 1119 BUENOS AIRES ,-34.5885469,-58.3919048
"Av. Gral. Mosconi 3469, C1419",DEVOTO,1419,BUENOS AIRES,"Av. Gral. Mosconi 3469, C1419 DEVOTO 1419 BUENOS AIRES ",-34.5907943,-58.5098736
AVDA GRAL IRIARTE 2462,BARRACAS,1291,BUENOS AIRES,AVDA GRAL IRIARTE 2462 BARRACAS 1291 BUENOS AIRES ,-34.6498137,-58.3808857
"Av. de Mayo 1324, C1085",MICROCENTRO,1085,BUENOS AIRES,"Av. de Mayo 1324, C1085 MICROCENTRO 1085 BUENOS AIRES ",-34.6094588,-58.3852728
MALABIA 1295,PALERMO,1414,BUENOS AIRES,MALABIA 1295 PALERMO 1414 BUENOS AIRES ,-34.5930895,-58.4303888
2 de Abril 819,GENERAL RODRIGUEZ,1748,BUENOS AIRES,2 de Abril 819 GENERAL RODRIGUEZ 1748 BUENOS AIRES ,-34.6071415,-58.9520165
ALMAFUERTE 1920,CASTELAR,1708,BUENOS AIRES,ALMAFUERTE 1920 CASTELAR 1708 BUENOS AIRES ,-34.654465,-58.6331702
EVARISTO IGLESIAS 714,EZPELETA ESTE,1878,BUENOS AIRES,EVARISTO IGLESIAS 714 EZPELETA ESTE 1878 BUENOS AIRES ,-34.740671,-58.2350307
BOULOGNE SUR MER 1275,GENERAL PACHECO,1617,BUENOS AIRES,BOULOGNE SUR MER 1275 GENERAL PACHECO 1617 BUENOS AIRES ,-34.4683113,-58.6243064
Doctor Alfredo E. Springolo 419,VILLA SAENZ PEÑA,1674,BUENOS AIRES,Doctor Alfredo E. Springolo 419 VILLA SAENZ PEÑA 1674 BUENOS AIRES ,-34.599332,-58.5279159
AVDA LURO 4392,LAFERRERE,1757,BUENOS AIRES,AVDA LURO 4392 LAFERRERE 1757 BUENOS AIRES ,-34.735402,-58.6041389
COLORADO 10735,VIRREY DEL PINO,1763,BUENOS AIRES,COLORADO 10735 VIRREY DEL PINO 1763 BUENOS AIRES ,-34.8801243,-58.6949573
TTE GRAL PABLO RICCHIERI 15,RAMOS MEJIA,1704,BUENOS AIRES,TTE GRAL PABLO RICCHIERI 15 RAMOS MEJIA 1704 BUENOS AIRES ,-34.6238709,-58.5379753
CERVIÑO 3599,SAN JUSTO,1754,BUENOS AIRES,CERVIÑO 3599 SAN JUSTO 1754 BUENOS AIRES ,-34.6797487,-58.5761374
FRAGA 602,MERLO,1722,BUENOS AIRES,FRAGA 602 MERLO 1722 BUENOS AIRES ,-34.6657811,-58.7577675
MANUEL ARAUJO 2348,CLAYPOLE,1849,BUENOS AIRES,MANUEL ARAUJO 2348 CLAYPOLE 1849 BUENOS AIRES ,-34.8252658,-58.3491934
Gral. Conrado Villegas 2885,HURLINGAM,1686,BUENOS AIRES,Gral. Conrado Villegas 2885 HURLINGAM 1686 BUENOS AIRES ,-34.5879364,-58.6650347
TUCUMAN 2601,CASTELAR,1712,BUENOS AIRES,TUCUMAN 2601 CASTELAR 1712 BUENOS AIRES ,-34.6395139,-58.644068
ALTE GUILLERMO BROWN 338,SAN VICENTE,B1865GBH,BUENOS AIRES,ALTE GUILLERMO BROWN 338 SAN VICENTE B1865GBH BUENOS AIRES ,-34.6036844,-58.3815591
PEDRO ECHAGUE 704,BURZACO,B1852KKD,BUENOS AIRES,PEDRO ECHAGUE 704 BURZACO B1852KKD BUENOS AIRES ,-34.8207841,-58.4144592
GUATAMBU 555,MALVINAS ARGENTINAS,B1851CJK,BUENOS AIRES,GUATAMBU 555 MALVINAS ARGENTINAS B1851CJK BUENOS AIRES ,-34.8191355,-58.4252323
JOSE ORTEGA Y GASSET 1901,PALERMO,1426,BUENOS AIRES,JOSE ORTEGA Y GASSET 1901 PALERMO 1426 BUENOS AIRES ,-34.5709011,-58.4334209
DR SALVADOR SALLARES 86,FLORENCIO VARELA,1888,BUENOS AIRES,DR SALVADOR SALLARES 86 FLORENCIO VARELA 1888 BUENOS AIRES ,-34.8080113,-58.27663
ABRAHAM LINCOLN 4212,GENERAL SAN MARTIN,B1650CHX,BUENOS AIRES,ABRAHAM LINCOLN 4212 GENERAL SAN MARTIN B1650CHX BUENOS AIRES ,-34.5757521,-58.5370965
AVDA MANUEL BELGRANO 2952,BALVANERA,1214,BUENOS AIRES,AVDA MANUEL BELGRANO 2952 BALVANERA 1214 BUENOS AIRES ,-34.6150817,-58.4074879
CAÑADA DE GOMEZ 5240,VILLA RIACHUELO,1001,BUENOS AIRES,CAÑADA DE GOMEZ 5240 VILLA RIACHUELO 1001 BUENOS AIRES ,-34.6891116,-58.4696234
Tte. Antonio Jukic 420,MANZANARES,1632,BUENOS AIRES,Tte. Antonio Jukic 420 MANZANARES 1632 BUENOS AIRES ,-34.4547463,-58.9974679
AVDA SAN JORGE 375,PILAR,1629,BUENOS AIRES,AVDA SAN JORGE 375 PILAR 1629 BUENOS AIRES ,-34.452892,-58.9504543
SAYOS 5590,VILLA LUGANO,1439,BUENOS AIRES,SAYOS 5590 VILLA LUGANO 1439 BUENOS AIRES ,-34.6769118,-58.4735029
Bartolomé Mitre 1214,SAN NICOLÁS,1036,BUENOS AIRES,Bartolomé Mitre 1214 SAN NICOLÁS 1036 BUENOS AIRES ,-34.6073675,-58.3809093